Subject	Language	AgeGroup	Group	Trial	ID	Type	SpatialRelation	TargetPic	ContrastPic	CompPic	DistrPic	Pic1Position	Pic2Position	Pic3Position	Pic4Position	TrialStartTime	PreviewTime	ArrowTime	VisualDisplayTime	NoiseDisplayTime	TrialEndTime	ReactionTime
52	3	1	1	3	3	P	left	p_potato_ring_left.JPG	p_potato_ring_right.JPG	p_potato_ring_front.JPG	p_potato_ring_on.JPG	9	6	7	8	132469	134485	135502	136035	138051	145824	7769
52	3	1	1	65	4	FN	in	f_shoe_bulb_in.jpg	f_shoe_bulb_left.jpg	f_shoe_bulb_behind.jpg	f_shoe_bulb_on.jpg	9	6	8	7	279401	281434	282450	282983	285016	293106	8084
52	3	1	1	45	5	FC	front	f_pan_cookingbrush_front.jpg	f_pan_cookingbrush_left.jpg	f_pan_cookingbrush_right.jpg	f_pan_cookingbrush_in.jpg	6	7	9	8	293413	295429	296445	296978	298994	308177	9177
52	3	1	1	23	6	EN	right	n_bowl_tongs_right.jpg	n_bowl_tongs_behind.jpg	n_bowl_tongs_on.jpg	n_bowl_tongs_in.jpg	6	9	7	8	308491	310507	311523	312056	314072	322857	8779
52	3	1	1	43	7	FC	in	f_foodbox_lid_in.jpg	f_foodbox_lid_left.jpg	f_foodbox_lid_right.jpg	f_foodbox_lid_behind.jpg	7	6	8	9	323136	325152	326168	326701	328717	335972	7249
52	3	1	1	22	8	EN	left	n_bowl_whisker1metal_left.jpg	n_bowl_whisker1metal_front.jpg	n_bowl_whisker1metal_in.jpg	n_bowl_whisker1metal_on.jpg	9	8	6	7	336231	338247	339264	339797	341813	354879	13063
52	3	1	1	78	9	FBI	behind	f_hat_ipad_behind.jpg	f_hat_ipad_front.jpg	f_hat_ipad_right.jpg	f_hat_ipad_on.jpg	9	7	8	6	355191	357207	358224	358757	360773	366892	6114
52	3	1	1	54	10	FC	on	f_book_makeupbrush_on.jpg	f_book_makeupbrush_left.jpg	f_book_makeupbrush_right.jpg	f_book_makeupbrush_front.jpg	9	7	6	8	367154	369170	370186	370719	372735	377806	5067
52	3	1	1	40	11	FC	on	f_tray_funnel_on.jpg	f_tray_funnel_left.jpg	f_tray_funnel_right.jpg	f_tray_funnel_behind.jpg	8	9	7	6	378133	380149	381166	381699	383715	401780	18061
52	3	1	1	28	12	EN	right	n_moneybox_leaflong_right.jpg	n_moneybox_leaflong_front.jpg	n_moneybox_leaflong_on.jpg	n_moneybox_leaflong_in.jpg	6	9	8	7	402058	404074	405091	405624	407640	414946	7301
52	3	1	1	79	13	FBE	on	f_mug_drainer_on.jpg	f_mug_drainer_front.jpg	f_mug_drainer_behind.jpg	f_mug_drainer_in.jpg	7	8	9	6	415254	417270	418286	418819	420835	436775	15937
52	3	1	1	42	14	FC	behind	f_slipper_purse_behind.jpg	f_slipper_purse_left.jpg	f_slipper_purse_right.jpg	f_slipper_purse_in.jpg	7	6	9	8	437096	439112	440128	440661	442677	449171	6488
52	3	1	1	86	15	FBI	in	f_plate_glassesbox_in.jpg	f_plate_glassesbox_left.jpg	f_plate_glassesbox_front.jpg	f_plate_glassesbox_behind.jpg	7	6	8	9	449492	451508	452524	453057	455073	460550	5471
52	3	1	1	12	16	EC	left	c_jar_whistle_left.jpg	c_jar_whistle_right.jpg	c_jar_whistle_front.jpg	c_jar_whistle_in.jpg	9	6	7	8	460854	462870	463887	464420	466436	484373	17933
52	3	1	1	56	17	FC	in	f_box_alarmclock_in.jpg	f_box_alarmclock_left.jpg	f_box_alarmclock_right.jpg	f_box_alarmclock_front.jpg	8	7	6	9	484679	486695	487712	488245	490261	497308	7042
52	3	1	1	35	18	FBE	front	f_envelope_thermometer_front.jpg	f_envelope_thermometer_behind.jpg	f_envelope_thermometer_in.jpg	f_envelope_thermometer_on.jpg	9	6	8	7	497558	499574	500590	501124	503139	509953	6811
52	3	1	1	21	19	EN	left	n_vase_corn_left.jpg	n_vase_corn_behind.jpg	n_vase_corn_in.jpg	n_vase_corn_on.jpg	6	9	7	8	510304	512320	513336	513869	515885	524646	8756
52	3	1	1	26	20	EN	right	n_jar_soapbar_right.jpg	n_jar_soapbar_front.jpg	n_jar_soapbar_in.jpg	n_jar_soapbar_on.jpg	7	8	9	6	524948	526964	527981	528514	530530	548454	17919
52	3	1	1	76	21	FBE	in	f_cookingpot_grater_in.jpg	f_cookingpot_grater_behind.jpg	f_cookingpot_grater_front.jpg	f_cookingpot_grater_on.jpg	9	6	8	7	548773	550789	551806	552339	554355	562800	8441
52	3	1	1	27	22	EN	left	n_jar_razor_left.jpg	n_jar_razor_front.jpg	n_jar_razor_on.jpg	n_jar_razor_in.jpg	7	8	9	6	563102	565118	566134	566667	568683	573742	5054
52	3	1	1	84	23	FBE	behind	f_box_calculator_behind.jpg	f_box_calculator_front.jpg	f_box_calculator_on.jpg	f_box_calculator_in.jpg	8	6	7	9	574048	576064	577097	577630	579646	589185	9536
52	3	1	1	25	24	EN	right	n_plantpot_carrot_right.jpg	n_plantpot_carrot_behind.jpg	n_plantpot_carrot_in.jpg	n_plantpot_carrot_on.jpg	7	6	9	8	589526	591542	592558	593091	595107	605056	9945
52	3	1	1	58	25	FC	in	f_plate_lemonjuicer_in.jpg	f_plate_lemonjuicer_left.jpg	f_plate_lemonjuicer_right.jpg	f_plate_lemonjuicer_front.jpg	7	6	9	8	605320	607336	608353	608886	610902	617556	6651
52	3	1	1	81	26	FBI	behind	f_paper_kiwi_behind.jpg	f_paper_kiwi_front.jpg	f_paper_kiwi_left.jpg	f_paper_kiwi_on.jpg	7	8	9	6	617833	619849	620865	621398	623414	630971	7551
52	3	1	1	18	27	EN	right	n_cup_toothbrush_right.jpg	n_cup_toothbrush_front.jpg	n_cup_toothbrush_in.jpg	n_cup_toothbrush_on.jpg	7	9	8	6	631245	633261	634277	634810	636826	642447	5617
52	3	1	1	73	28	FBI	in	f_pan_towel_in.jpg	f_pan_towel_right.jpg	f_pan_towel_front.jpg	f_pan_towel_behind.jpg	8	7	6	9	642724	644740	645756	646289	648305	655865	7555
52	3	1	1	48	29	FBE	behind	f_cookingpot_latch2red_behind.jpg	f_cookingpot_latch2red_front.jpg	f_cookingpot_latch2red_in.jpg	f_cookingpot_latch2red_on.jpg	7	8	6	9	656136	658152	659168	659701	661717	669040	7318
